500
9-Oct
4200,289_BGA_ZEL,5,29.76190476,1
1082,2769_CFCBGA_CMQ,5,8.928571429,1.25
38,132_CFP_HFP,5,0.595238095,1.25
5039,1024_FCBGA_AAC,0.38,178.5714286,2.5
75185,1031_FCBGA_CYG,5.74,178.5714286,2.5
8469,1517_FCBGA_AAW,0.65,178.5714286,2.5
29000,164_FCBGA_AAP,2.21,178.5714286,2.5
959,1657_FCBGA_CLT,0.07,178.5714286,2.5
11000,168_FCBGA_AAP,0.84,178.5714286,2.5
1955,2112_FCBGA_AAM,0.15,178.5714286,2.5
34295,529_FCBGA_ZUT,2.62,178.5714286,2.5
839,532_FCBGA_CLZ,0.06,178.5714286,2.5
10950,532_FCBGA_GLZ,0.84,178.5714286,2.5
7318,561_FCBGA_CUN,0.56,178.5714286,2.5
3060,609_FCBGA_AAR,0.23,178.5714286,2.5
4462,625_FCBGA_AAS,0.34,178.5714286,2.5
6939,676_FCBGA_CTP,0.53,178.5714286,2.5
83338,684_FCBGA_CYE,6.36,178.5714286,2.5
18233,697_FCBGA_CTZ,1.39,178.5714286,2.5
105515,754_FCBGA_AAN,8.05,178.5714286,2.5
46658,760_FCBGA_ABC,3.56,178.5714286,2.5
1605,784_FCBGA_CMZ,0.12,178.5714286,2.5
68024,841_FCBGA_CYP,5.19,178.5714286,2.5
50,900_FCBGA_CMS,0.03,178.5714286,2.5
1396,900_FCBGA_CTN,0.11,178.5714286,2.5
30883,176_HLQFP_PTP,2.5,297.6190476,3.75
12259,100_HTQFP_PZP,1.1,297.6190476,3.75
59550,128_HTQFP_PNP,5.37,297.6190476,3.75
1500,144_HTQFP_RFP,0.14,297.6190476,3.75
877613,48_HTQFP_PHP,79.11,297.6190476,3.75
71999,64_HTQFP_PAP,6.49,297.6190476,3.75
308382,80_HTQFP_PFP,27.8,297.6190476,3.75
125035,120_JRBGA_ZQZ,9.27,148.8095238,2.5
34791,157_JRBGA_ZRB,2.58,148.8095238,2.5
42499,48_JRBGA_ZQE,3.15,148.8095238,2.5
25000,50_JRBGA_ZQE,1.85,148.8095238,2.5
225000,64_JRBGA_ZQE,16.68,148.8095238,2.5
331639,8_JRBGA_ZQV,24.59,148.8095238,2.5
25785,80_JRBGA_ZQE,1.91,148.8095238,2.5
134446,96_JRBGA_ZQZ,9.97,148.8095238,2.5
165614,100_LQFP_PZ,15.12,327.3809524,3.75
