10
OCT-9
4200,289_BGA_ZEL,1,29.76190476,4
1082,2769_CFCBGA_CMQ,1,8.928571429,5
38,132_CFP_HFP,1,0.595238095,5
5039,1024_FCBGA_AAC,0.08,178.5714286,10
75185,1031_FCBGA_CYG,1.15,178.5714286,10
8469,1517_FCBGA_AAW,0.13,178.5714286,10
29000,164_FCBGA_AAP,0.44,178.5714286,10
959,1657_FCBGA_CLT,0.01,178.5714286,10
11000,168_FCBGA_AAP,0.17,178.5714286,10
1955,2112_FCBGA_AAM,0.03,178.5714286,10
34295,529_FCBGA_ZUT,0.52,178.5714286,10
839,532_FCBGA_CLZ,0.01,178.5714286,10
10950,532_FCBGA_GLZ,0.17,178.5714286,10
7318,561_FCBGA_CUN,0.11,178.5714286,10
3060,609_FCBGA_AAR,0.05,178.5714286,10
4462,625_FCBGA_AAS,0.07,178.5714286,10
6939,676_FCBGA_CTP,0.11,178.5714286,10
83338,684_FCBGA_CYE,1.27,178.5714286,10
18233,697_FCBGA_CTZ,0.28,178.5714286,10
105515,754_FCBGA_AAN,1.61,178.5714286,10
46658,760_FCBGA_ABC,0.71,178.5714286,10
1605,784_FCBGA_CMZ,0.02,178.5714286,10
68024,841_FCBGA_CYP,1.04,178.5714286,10
50,900_FCBGA_CMS,0.01,178.5714286,10
1396,900_FCBGA_CTN,0.02,178.5714286,10
30883,176_HLQFP_PTP,0.5,297.6190476,15
12259,100_HTQFP_PZP,0.22,297.6190476,15
59550,128_HTQFP_PNP,1.07,297.6190476,15
1500,144_HTQFP_RFP,0.03,297.6190476,15
877613,48_HTQFP_PHP,15.82,297.6190476,15
71999,64_HTQFP_PAP,1.3,297.6190476,15
308382,80_HTQFP_PFP,5.56,297.6190476,15
125035,120_JRBGA_ZQZ,1.85,148.8095238,10
34791,157_JRBGA_ZRB,0.52,148.8095238,10
42499,48_JRBGA_ZQE,0.63,148.8095238,10
25000,50_JRBGA_ZQE,0.37,148.8095238,10
225000,64_JRBGA_ZQE,3.34,148.8095238,10
331639,8_JRBGA_ZQV,4.92,148.8095238,10
25785,80_JRBGA_ZQE,0.38,148.8095238,10
134446,96_JRBGA_ZQZ,1.99,148.8095238,10
165614,100_LQFP_PZ,3.02,327.3809524,15
24116,128_LQFP_PBK,0.44,327.3809524,15
832552,144_LQFP_PGE,15.2,327.3809524,15
32994,176_LQFP_PGF,0.6,327.3809524,15
59175,208_LQFP_PDV,1.08,327.3809524,15
1750,32_LQFP_VF,0.03,327.3809524,15
72575,48_LQFP_PT,1.33,327.3809524,15
66210,64_LQFP_PM,1.21,327.3809524,15
552418,80_LQFP_PN,10.09,327.3809524,15
2731,113_NFBGA_ZCA,0.04,148.8095238,10
779,128_NFBGA_ZAU,0.01,148.8095238,10
4000,139_NFBGA_ZCH,0.06,148.8095238,10
160,167_NFBGA_ZAY,0.01,148.8095238,10
34254,167_NFBGA_ZJA,0.53,148.8095238,10
8718,168_NFBGA_ZAJ,0.14,148.8095238,10
107499,169_NFBGA_ZWS,1.67,148.8095238,10
3069,196_NFBGA_ZAY,0.05,148.8095238,10
8315,196_NFBGA_ZCH,0.13,148.8095238,10
4000,209_NFBGA_ZXN,0.06,148.8095238,10
3111,212_NFBGA_ZAD,0.05,148.8095238,10
62,285_NFBGA_GVC,0.01,148.8095238,10
136,285_NFBGA_ZVC,0.01,148.8095238,10
3276,289_NFBGA_ZAV,0.05,148.8095238,10
7290,289_NFBGA_ZWT,0.11,148.8095238,10
99844,298_NFBGA_ZCE,1.55,148.8095238,10
132880,324_NFBGA_ZCZ,2.07,148.8095238,10
211,337_NFBGA_ZCE,0.01,148.8095238,10
78471,337_NFBGA_ZWT,1.22,148.8095238,10
81847,338_NFBGA_ZCE,1.27,148.8095238,10
1326,361_NFBGA_GWT,0.02,148.8095238,10
25799,361_NFBGA_ZCE,0.4,148.8095238,10
167427,361_NFBGA_ZWT,2.61,148.8095238,10
79976,491_NFBGA_ZCN,1.25,148.8095238,10
3076,491_NFBGA_ZDN,0.05,148.8095238,10
100000,72_NFBGA_ZST,1.56,148.8095238,10
5000,84_NFBGA_ZAR,0.08,148.8095238,10
743,288_OMFCBGA_ZTS,0.1,595.2380952,5
10080,548_OMFCBGA_ZNZ,0.1,595.2380952,5
48384,176_PBGA_ZJZ,0.77,357.1428571,5
1500,208_PBGA_ZFE,0.02,357.1428571,5
25623,256_PBGA_ZDH,0.41,357.1428571,5
32250,256_PBGA_ZFE,0.52,357.1428571,5
129374,256_PBGA_ZKB,2.07,357.1428571,5
23625,272_PBGA_GDP,0.38,357.1428571,5
95611,272_PBGA_ZDP,1.53,357.1428571,5
4750,288_PBGA_GDQ,0.08,357.1428571,5
13867,289_PBGA_GDY,0.22,357.1428571,5
5999,289_PBGA_ZDY,0.1,357.1428571,5
34000,324_PBGA_ZDU,0.54,357.1428571,5
1632,324_PBGA_ZDW,0.03,357.1428571,5
811,352_PBGA_ZDU,0.01,357.1428571,5
34654,376_PBGA_ZDU,0.55,357.1428571,5
